DOC ID;Brand;Model;Unit_ref;Variant;Language;Condition;Availability;Year;Delivery;URL;Aliases;Lenght_ft;Updated
PARDO_P43_124_ES_BRK;PARDO;P43;124;broker;es;new;on_order;2026;Feb_2026;https://drive.google.com/file/d/1k_L6-LbV64TVTrcMEU_P2hhVutwqUyed/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|124|Unit 124;43;14/01/2026
PARDO_P43_124_EN_BRK;PARDO;P43;124;broker;en;new;on_order;2026;Feb_2026;https://drive.google.com/file/d/1LGXlP8UqrjD7ejMP684taij9NFkywPWR/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|124|Unit 124;43;14/01/2026
PARDO_P43_126_ES;PARDO;P43;126;standard;es;new;in_stock;2026;Jan_2026;https://drive.google.com/file/d/12DaZ6_H95dEMi8nf7PWQxQR-C3ZWmD14/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|126|Unit126;43;14/01/2026
PARDO_P43_126_EN;PARDO;P43;126;standard;en;new;in_stock;2026;Jan_2026;https://drive.google.com/file/d/1X7lMxdCIjzZkqW9bcw9DufgMMqijrQQv/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|126|Unit126;43;14/01/2026
PARDO_P43_126_ES_BRK;PARDO;P43;126;broker;es;new;in_stock;2026;Jan_2026;https://drive.google.com/file/d/1WNA9tHUKOodj5ooVVLYIU0jVdveX1Zn5/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|126|Unit126;43;14/01/2026
PARDO_P43_126_EN_BRK;PARDO;P43;126;broker;en;new;in_stock;2026;Jan_2026;https://drive.google.com/file/d/1mrkyGXCS1WvYkIVFRR3IxcVBk6MDji3d/view?usp=sharing;P43|P 43|PARDO43|PARDO 43|NEW P43|NEW43|126|Unit126;43;14/01/2026
PARDO_P50_251_ES;PARDO;P50;251;standard;es;new;on_order;2026;Aug_2026;https://drive.google.com/file/d/19Z8gUmikNIURdS-s49QtfRGwy3buA5hm/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|251|Unit 251;50;14/01/2026
PARDO_P50_251_EN;PARDO;P50;251;standard;en;new;on_order;2026;Aug_2026;https://drive.google.com/file/d/1Dvmuh_5xe9yiQuCqep4dwS3xsbuy26WN/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|251|Unit 251;50;14/01/2026
PARDO_P50_251_ES_BRK;PARDO;P50;251;broker;es;new;on_order;2026;Aug_2026;https://drive.google.com/file/d/1wd9sirj-u7rF9IJ1N9YU0reyVDLPfZmR/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|251|Unit 251;50;14/01/2026
PARDO_P50_251_EN_BRK;PARDO;P50;251;broker;en;new;on_order;2026;Aug_2026;https://drive.google.com/file/d/1lyMwke3-uWn4Dvu4peqjJ2-xDEoQJ8h7/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|251|Unit 251;50;14/01/2026
PARDO_P50_249_ES;PARDO;P50;249;standard;es;new;on_order;2026;Jun_2026;https://drive.google.com/file/d/1cgiB0uO_Aq6ZM3UhUkTKvjbiKX_nlDAl/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|249|Unit 249;50;14/01/2026
PARDO_P50_249_EN;PARDO;P50;249;standard;en;new;on_order;2026;Jun_2026;https://drive.google.com/file/d/1HxAhE2otBHa9UHrFh1VcZSt8AN3c2-DT/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|249|Unit 249;50;14/01/2026
PARDO_P50_249_ES_BRK;PARDO;P50;249;broker;es;new;on_order;2026;Jun_2026;https://drive.google.com/file/d/1cgiB0uO_Aq6ZM3UhUkTKvjbiKX_nlDAl/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|249|Unit 249;50;14/01/2026
PARDO_P50_249_EN_BRK;PARDO;P50;249;broker;en;new;on_order;2026;Jun_2026;https://drive.google.com/file/d/1kiILjYlHR5ClJh98vogC-Cf4Qar_vSS5/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|249|Unit 249;50;14/01/2026
BENETEAU_GT50_AIMENO_ES;BENETEAU;GRAN TURISMO 50;AIMENO;standard;es;used;in_stock;2021;;https://drive.google.com/file/d/1K09ppWyc1-pYQvX1hHaKgfMUmCVgGyRB/view?usp=sharing;GT50|GRAN TURISMO 50|AIMENO;50;14/01/2026
BENETEAU_GT50_AIMENO_EN;BENETEAU;GRAN TURISMO 50;AIMENO;standard;en;used;in_stock;2021;;https://drive.google.com/file/d/1hnRvljGNJahVo40RmPm12-J5W3BxOl8v/view?usp=sharing;GT50|GRAN TURISMO 50|AIMENO;50;14/01/2026
BENETEAU_GT50_AIMENO_ES_BRK;BENETEAU;GRAN TURISMO 50;AIMENO;broker;es;used;in_stock;2021;;https://drive.google.com/file/d/1jFSiYWlpBN0JE4i31qeG-h8OHji5CPB2/view?usp=sharing;GT50|GRAN TURISMO 50|AIMENO;50;14/01/2026
BENETEAU_GT50_AIMENO_ES_BRK;BENETEAU;GRAN TURISMO 50;AIMENO;broker;en;used;in_stock;2021;;https://drive.google.com/file/d/1fSlef-4lF4JX-x1j3Lo0WVRUGCIJlkiu/view?usp=sharing;GT50|GRAN TURISMO 50|AIMENO;50;14/01/2026
Jeanneau_SO349_VEGADOS__ES;Jeanneau;Sun Odyssey 349;VEGA DOS;standard;es;used;in_stock;2023;;https://drive.google.com/file/d/1Ry77mW-lx-Rw3OcoK_2UR52jo0plcQfs/view?usp=sharing;JSO349|SO349|349|JSO 349|SO 349|VEGA DOS;35;14/01/2026
Jeanneau_SO349_VEGADOS__EN;Jeanneau;Sun Odyssey 349;VEGA DOS;standard;en;used;in_stock;2023;;https://drive.google.com/file/d/1HtUgBvqc8SasBdg9-XiWRUIROvnnVHfK/view?usp=sharing;JSO349|SO349|349|JSO 349|SO 349|VEGA DOS;35;14/01/2026
Jeanneau_SO349_VEGADOS_ES_BRK;Jeanneau;Sun Odyssey 349;VEGA DOS;broker;es;used;in_stock;2023;;https://drive.google.com/file/d/1f0v8yBTW6KiMVp52bFraKHlfR_AdhXC7/view?usp=sharing;JSO349|SO349|349|JSO 349|SO 349|VEGA DOS;35;14/01/2026
Jeanneau_SO349_VEGADOS__EN_BRK;Jeanneau;Sun Odyssey 349;VEGA DOS;broker;en;used;in_stock;2023;;https://drive.google.com/file/d/1pKC6ztDGwaEznSZRsCgHC-Wgkbzo3h1A/view?usp=sharing;JSO349|SO349|349|JSO 349|SO 349|VEGA DOS;35;14/01/2026
PARDO_E60_VESPER_ES;PARDO;E60;VESPER;standard;es;used;in_stock;2023;;https://drive.google.com/file/d/1Gh4nddEH_aFnOnh_E4q9jg0Crmkquznl/view?usp=sharing;P60|PARDO 60|ENDURANCE 60|E60|VESPER;60;14/01/2026
PARDO_E60_VESPER_EN;PARDO;E60;VESPER;standard;en;used;in_stock;2023;;https://drive.google.com/file/d/1m14S9E6Kl2NysXjlDqy8ApAxhkUgw2Fm/view?usp=sharing;P60|PARDO 60|ENDURANCE 60|E60|VESPER;60;14/01/2026
PARDO_E60_VESPER_ES_BRK;PARDO;E60;VESPER;broker;es;used;in_stock;2023;;https://drive.google.com/file/d/1r4LKb70XSCEL1wH_jQtqi0qbDsFGWkaQ/view?usp=sharing;P60|PARDO 60|ENDURANCE 60|E60|VESPER;60;14/01/2026
PARDO_E60_VESPER_EN_BRK;PARDO;E60;VESPER;broker;en;used;in_stock;2023;;https://drive.google.com/file/d/1qse5kWUDJ9HNfYznvwpRNUJmR0ZKa9Wz/view?usp=sharing;P60|PARDO 60|ENDURANCE 60|E60|VESPER;60;14/01/2026
PARDO_P50_BANBAN_ES;PARDO;P50;BAN BAN;standard;es;used;in_stock;2023;;https://drive.google.com/file/d/14vP3sTQFGuPa1lITMcz_yCDyBdATcv5F/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|BAN BAN;50;14/01/2026
PARDO_P50_BANBAN_EN;PARDO;P50;BAN BAN;standard;en;used;in_stock;2023;;https://drive.google.com/file/d/1KeE2ICkVvSydvgjwYv3TRpc-Rfnb7jrb/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|BAN BAN;50;14/01/2026
PARDO_P50_BANBAN_ES_BRK;PARDO;P50;BAN BAN;broker;es;used;in_stock;2023;;https://drive.google.com/file/d/15_ZKPOblx6I1_ZwC-dbOaK73s5yh4aiO/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|BAN BAN;50;14/01/2026
PARDO_P50_BANBAN_EN_BRK;PARDO;P50;BAN BAN;broker;en;used;in_stock;2023;;https://drive.google.com/file/d/12mRYxMBd_G-Gg4Z3idkFnuybjEYeEcdh/view?usp=sharing;P50|P 50|PARDO50|PARDO 50|BAN BAN;50;14/01/2026
VANDUTCH_40_HAVEN_ES;VAN DUTCH;VD40;HAVEN;standard;es;used;in_stock;2023;;https://drive.google.com/file/d/1C7RiUbcGWWwyi4afWnZ7-j-1clegACaD/view?usp=sharing;VAN DUTCH 40|VD40|VD 40|40|HAVEN;40;14/01/2026
VANDUTCH_40_HAVEN_EN;VAN DUTCH;VD40;HAVEN;standard;en;used;in_stock;2023;;https://drive.google.com/file/d/1C7RiUbcGWWwyi4afWnZ7-j-1clegACaD/view?usp=sharing;VAN DUTCH 40|VD40|VD 40|40|HAVEN;40;14/01/2026
VANDUTCH_40_HAVEN_ES_BRK;VAN DUTCH;VD40;HAVEN;broker;es;used;in_stock;2023;;https://drive.google.com/file/d/1aHl3c5jPvvdJ_h2j0Tx2BfDQmnJZedm2/view?usp=sharing;VAN DUTCH 40|VD40|VD 40|40|HAVEN;40;14/01/2026
VANDUTCH_40_HAVEN_EN_BRK;VAN DUTCH;VD40;HAVEN;broker;en;used;in_stock;2023;;https://drive.google.com/file/d/1InRrIRk7n-O2i1Xtd-8d2Rz4MnoH6BFR/view?usp=sharing;VAN DUTCH 40|VD40|VD 40|40|HAVEN;40;14/01/2026
YOT_36_6_ES;YOT;36;6;standard;es;new;in_stock;2025;In_stock;https://drive.google.com/file/d/1pXBvznS4aHKQhaxD-ORYKXtDTdpo7GQp/view?usp=sharing;YOT36|YOT 36|#6|6;36;14/01/2026
YOT_36_6_EN;YOT;36;6;standard;en;new;in_stock;2025;In_stock;https://drive.google.com/file/d/1EZ6Q-NtDytVe1H6LWvKK-quphN3iOrPW/view?usp=sharing;YOT36|YOT 36|#6|6;36;14/01/2026
YOT_36_6_ES_BRK;YOT;36;6;broker;es;new;in_stock;2025;In_stock;https://drive.google.com/file/d/1YEE-9us_xuWi45MQlFj57WQL-J8KclMB/view?usp=sharing;YOT36|YOT 36|#6|6;36;14/01/2026
YOT_36_6_ES_BRK;YOT;36;6;broker;en;new;in_stock;2025;In_stock;https://drive.google.com/file/d/1Ga42hCG3rgZrE0sczUDqM3lkT_9WKBAa/view?usp=sharing;YOT36|YOT 36|#6|6;36;14/01/2026
JEANNEAU_YACHTS_60__41_BOOT_ES;Jeanneau;Yachts 60;41;standard;es;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1oOjfPv1QYYpfnv8rhlHWeinP5wdoK2yZ/view?usp=sharing;Jeanneau Yachts 60|YACHTS 60|YACHTS 60 Astillero|YACHTS 60 BOOT|41|Unit 41|D�sseldorf;60;14/01/2026
JEANNEAU_YACHTS_60__41_BOOT_EN;Jeanneau;Yachts 60;41;standard;en;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1C3b7Jx8_p2yZNvBVo9tIxfClXztXYslg/view?usp=sharing;Jeanneau Yachts 60|YACHTS 60|YACHTS 60 Astillero|YACHTS 60 BOOT|41|Unit 41|D�sseldorf;60;14/01/2026
JEANNEAU_YACHTS_60__41_BOOT_ES_BRK;Jeanneau;Yachts 60;41;broker;es;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1xMqPAv5Or-h8G0IjJo-NfJPqxtNv8WK6/view?usp=sharing;Jeanneau Yachts 60|YACHTS 60|YACHTS 60 Astillero|YACHTS 60 BOOT|41|Unit 41|D�sseldorf;60;14/01/2026
JEANNEAU_YACHTS_60__41_BOOT_EN_BRK;Jeanneau;Yachts 60;41;broker;en;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1F27ODrzMlZi2guq_zAsxZcNadiu4ujHw/view?usp=sharing;Jeanneau Yachts 60|YACHTS 60|YACHTS 60 Astillero|YACHTS 60 BOOT|41|Unit 41|D�sseldorf;60;14/01/2026
JEANNEAU_YACHTS_55__34_BOOT_ES;Jeanneau;Yachts 55;34;standard;es;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1PPlb3P5_JfvhVLBib09q0b0OyrDwT7TI/view?usp=sharing;Jeanneau Yachts 55|YACHTS 55|YACHTS 55 Astillero|YACHTS 55 BOOT|34|Unit 34|D�sseldorf;55;14/01/2026
JEANNEAU_YACHTS_55__34_BOOT_ES_BRK;Jeanneau;Yachts 55;34;standard;en;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1unGy04Ps_YjUNObSYhH276vr_SHJrxlI/view?usp=sharing;Jeanneau Yachts 55|YACHTS 55|YACHTS 55 Astillero|YACHTS 55 BOOT|34|Unit 34|D�sseldorf;55;14/01/2026
JEANNEAU_YACHTS_55__34_BOOT_EN;Jeanneau;Yachts 55;34;broker;es;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1-Hix0hRyuCk76iIgzls4Pmbuwdl244OG/view?usp=sharing;Jeanneau Yachts 55|YACHTS 55|YACHTS 55 Astillero|YACHTS 55 BOOT|34|Unit 34|D�sseldorf;55;14/01/2026
JEANNEAU_YACHTS_55__34_BOOT_EN_BRK;Jeanneau;Yachts 55;34;broker;en;new;Astillero;2026;In_stock;https://drive.google.com/file/d/1hjLqYKB8Yn6mVXMDSvABcbmoitRH5W8-/view?usp=sharing;Jeanneau Yachts 55|YACHTS 55|YACHTS 55 Astillero|YACHTS 55 BOOT|34|Unit 34|D�sseldorf;55;14/01/2026
